accession,spec count,peptide num,avg int m/z_126.127726,avg int m/z_127.124761,avg int m/z_127.131081,avg int m/z_128.128116,avg int m/z_128.134436,avg int m/z_129.131471,avg int m/z_129.13779,avg int m/z_130.134825,avg int m/z_130.141145,avg int m/z_131.13818,avg int m/z_131.1445,avg int m/z_132.141535,avg int m/z_132.147855,avg int m/z_133.14489,avg int m/z_133.15121,avg int m/z_134.148245,norm int m/z_126.127726,norm int m/z_127.124761,norm int m/z_127.131081,norm int m/z_128.128116,norm int m/z_128.134436,norm int m/z_129.131471,norm int m/z_129.13779,norm int m/z_130.134825,norm int m/z_130.141145,norm int m/z_131.13818,norm int m/z_131.1445,norm int m/z_132.141535,norm int m/z_132.147855,norm int m/z_133.14489,norm int m/z_133.15121,norm int m/z_134.148245,description
P52503,31,31,5932.16,5796.13,5941.58,10451.84,14498.29,6363.19,9729.58,13570.23,4337.45,19006.87,11802.74,24576.06,7050.74,15069.87,13835.77,10608.35,7230.13,7129.94,10074.52,7776.61,11015.61,7546.19,12562.97,16193.13,5917.94,12583.55,13430.03,19719.71,10354.29,14000.45,8805.03,10998.19,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs6 PE=1 SV=2"
A0A2I3BS01,3,3,1099.67,984.67,836.67,1906.33,925,852.33,631.33,1507.67,365.67,4036,1590.33,2598.33,1446.33,1707,2482.67,3214.33,1339.67,1211,1418.67,1418,702.33,1010.67,814.67,1798.67,498.67,2671.33,1809.33,2084.33,2123.67,1585.67,1579.33,3332,Dematin actin binding protein (Fragment) OS=Mus musculus OX=10090 GN=Dmtn PE=1 SV=1
A0A0N4SUI6,19,19,7568.42,6834.42,4678.11,37719.32,9939.68,8476.95,8706,9811.68,6541.58,16777.16,8572.84,12850.26,5688.58,7478.58,10303.53,8250.68,9224.58,8407.21,7932.05,28066.05,7551.84,10053.26,11241.37,11708.05,8925.47,11107.26,9754.63,10310.79,8353.84,6947.58,6556.95,8553.84,"Enolase 2, gamma neuronal (Fragment) OS=Mus musculus OX=10090 GN=Eno2 PE=1 SV=1"
E9Q606,113,113,9535.69,6835.17,4621.59,16728.85,9105.97,8702.48,7813.49,8285.68,6784.41,12130.42,7355.73,9881.14,5973.39,6497.34,9915.11,6775.83,11622.32,8408.32,7836.19,12447.23,6918.42,10320.68,10088.82,9887.05,9256.81,8030.8,8369.71,7928.31,8772.08,6035.98,6309.82,7024.65,"Actin, beta (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1"
E9Q223,278,278,26282.94,21486.97,19253.5,15741.16,9747.42,19298.13,13602.4,34968.45,28968.62,32112.05,22603.41,40001.37,29288.86,28015.08,26412.44,32465.33,32035.06,26433.3,32647.1,11712.35,7405.88,22887.11,17563.87,41728.2,39526.86,21260.18,25720.33,32097.21,43013.45,26027.35,16809.27,33659.4,"Hemoglobin, beta adult s chain (Fragment) OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1"
E9Q2D1,77,77,6690.64,4440,3258,11948.61,7292.24,6768.07,6005.85,5655.23,5092.33,8264.32,5071.77,6176.87,3654.87,4636.97,6787.96,4427.11,8154.57,5461.71,5524,8890.35,5540.32,8026.48,7754.69,6748.09,6948.01,5471.17,5770.79,4955.96,5367.09,4307.59,4319.59,4589.52,"Actin, beta (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1"
A0A1L1SST0,73,73,8804.58,11004.52,6214.3,33659.68,13213.84,7289.4,9111.86,9271.49,7828.97,28211.9,10455.34,18284.89,4840.18,11130.03,10894.27,8882.97,10731.16,13537.52,10536.95,25045.36,10039.6,8644.79,11765.32,11063.37,10682.05,18677.96,11896.82,14671.52,7107.86,10340.04,6932.97,9209.37,Peptidyl-prolyl cis-trans isomerase OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=1
Q91VB8,481,481,15348.84,10531.59,8801.03,10647.92,8953.4,9002.1,9613.09,13084.48,10105.93,16166.77,11768.12,14009.88,13886.4,10569.82,9345.55,11792.1,18707.77,12955.68,14923.13,7922.51,6802.51,10676.01,12412.54,15613.52,13788.96,10703.16,13390.63,11241.24,20393.24,9819.58,5947.33,12225.48,Alpha globin 1 OS=Mus musculus OX=10090 GN=Hba-a1 PE=1 SV=1
A0A1Y7VKP8,18,18,7018.56,7029.89,6964,12358.11,17737.06,7485.44,12290.11,15862.83,5259.28,22782.89,13637.39,28463.22,7909.89,17458.33,14878.72,12720.61,8554.33,8647.78,11808.22,9195,13476.44,8877.11,15869.22,18928.94,7175.72,15083.61,15517.72,22838.83,11616.06,16219.44,9468.83,13188.28,NADH:ubiquinone oxidoreductase core subunit S6 OS=Mus musculus OX=10090 GN=Ndufs6 PE=1 SV=1
P10853,163,163,14552.15,11807.73,7415.44,17021.84,54994.98,8806.39,41888.4,45745.79,10544.46,23481.21,35207.81,48212.78,27209.91,56458.91,55521.8,38636.02,17736.68,14525.64,12573.69,12665.28,41785.94,10443.94,54088.51,54589.02,14387.31,15545.91,40063.14,38686.16,39960.26,52453.54,35335.42,40057.13,Histone H2B type 1-F/J/L OS=Mus musculus OX=10090 GN=H2bc7 PE=1 SV=2
Q8CGP2,163,163,14552.15,11807.73,7415.44,17021.84,54994.98,8806.39,41888.4,45745.79,10544.46,23481.21,35207.81,48212.78,27209.91,56458.91,55521.8,38636.02,17736.68,14525.64,12573.69,12665.28,41785.94,10443.94,54088.51,54589.02,14387.31,15545.91,40063.14,38686.16,39960.26,52453.54,35335.42,40057.13,Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp PE=1 SV=3
Q8CGP2-2,163,163,14552.15,11807.73,7415.44,17021.84,54994.98,8806.39,41888.4,45745.79,10544.46,23481.21,35207.81,48212.78,27209.91,56458.91,55521.8,38636.02,17736.68,14525.64,12573.69,12665.28,41785.94,10443.94,54088.51,54589.02,14387.31,15545.91,40063.14,38686.16,39960.26,52453.54,35335.42,40057.13,Isoform 2 of Histone H2B type 1-P OS=Mus musculus OX=10090 GN=Hist1h2bp
Q64475,163,163,14552.15,11807.73,7415.44,17021.84,54994.98,8806.39,41888.4,45745.79,10544.46,23481.21,35207.81,48212.78,27209.91,56458.91,55521.8,38636.02,17736.68,14525.64,12573.69,12665.28,41785.94,10443.94,54088.51,54589.02,14387.31,15545.91,40063.14,38686.16,39960.26,52453.54,35335.42,40057.13,Histone H2B type 1-B OS=Mus musculus OX=10090 GN=H2bc3 PE=1 SV=3
Q8CGP1,135,135,16819.69,13712.77,8579.43,19610.29,60395.51,10467.44,44837.44,50965.38,12282.62,26957.47,38590.84,53920.17,30729.16,62663.18,62615.53,42454.77,20500.53,16869.24,14547.44,14591.33,45889.39,12413.95,57896.49,60817.68,16759.02,17847.46,43912.75,43265.87,45128.66,58217.71,39850.1,44016.4,Histone H2B type 1-K OS=Mus musculus OX=10090 GN=H2bc12 PE=1 SV=3
P02089,96,96,14691.49,5274.03,5614.26,12282.4,10319.35,4865.29,9209.3,11262.76,7821.77,20328.31,16246.11,11773.39,19485.03,8217.53,7373.89,9999.93,17906.54,6487.93,9519.55,9138.72,7840.47,5769.82,11891.19,13439.67,10672.32,13458.45,18486.22,9446.77,28615.49,7634.23,4692.63,10367.49,Hemoglobin subunit beta-2 OS=Mus musculus OX=10090 GN=Hbb-b2 PE=1 SV=2
contaminant_KERATIN03,601,601,4421.3,6869.83,9546.22,8196.81,15219.98,7667.39,5783.01,4481.46,6965.25,10382.68,6181.86,10379.05,5521.51,8455.27,21901.08,8225.76,5388.6,8450.98,16186.78,6098.71,11564.04,9093.12,7466.99,5347.43,9503.57,6873.71,7034,8327.84,8108.54,7855.08,13938.12,8527.97,no description
contaminant_KERATIN13,959,959,8480.04,12242.27,10798.59,16777.65,20622.59,13349.22,7743.51,8100.45,12759.02,15459.82,11402.19,18475.11,8594.23,13814.3,35241.53,13117.78,10335.69,15060.28,18310.4,12483.6,15669.05,15831.79,9998.5,9666.02,17409.11,10235.14,12974.31,14824.26,12621.16,12833.97,22428.41,13600.01,no description
B1ARR6,12,12,9424.08,7043.75,5348.58,33581.58,9155,8309.33,8814.92,9979,7510.92,14682.5,7611.08,11889.17,6542.42,6811.08,11779.92,7176.83,11486.42,8664.75,9068.92,24987.08,6955.67,9854.42,11382,11907.67,10248.08,9720.25,8660.25,9539.58,9607.67,6327.5,7496.5,7440.5,"Enolase 1, alpha non-neuron (Fragment) OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=1"
A0A1Y7VM38,26,26,5975.15,5686.08,5869.77,10322.62,14434.42,6087.23,9927.38,13350.92,4322.81,18439.31,11216,24013.23,6506.65,14458.08,12557.35,10360.54,7282.5,6994.54,9952.73,7680.46,10967.12,7218.92,12818.35,15931.42,5897.92,12207.77,12762.38,19268.08,9555.23,13432.04,7991.38,10741.31,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs6 PE=1 SV=1"
Q91ZZ3,198,198,14346.28,15630.72,7973.97,8660.9,40157.18,16002.27,20923.08,19671.94,10023.82,39851.83,18602.39,23276.73,11580.19,27926.85,27464.58,20108.21,17485.79,19228.73,13520.68,6443.97,30511.86,18978.23,27016.72,23474.51,13676.86,26384.44,21167.51,18677.08,17006.33,25945.34,17478.85,20847.54,Beta-synuclein OS=Mus musculus OX=10090 GN=Sncb PE=1 SV=1
P62806,46,46,19183.96,18217.02,13029.82,15485.2,20356.33,14464.56,16005.16,11801.76,11694.84,15372.4,12882.51,13527.53,11705.71,12189.27,14013.6,11827.56,23382.29,22410.44,22093.78,11521.89,15466.73,17154.58,20666.38,14082.84,15957.04,10177.29,14658.76,10854.24,17190.62,11324.09,8918.16,12262.22,Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2
P04370-7,290,290,13197.56,10055.11,7780.2,18618.47,21447.61,10611.73,13508.32,14386.39,6353.08,34225.73,15066.42,24373.39,7858.3,24195.08,20706.35,15546.23,16085.66,12369.56,13192.19,13853.31,16295.94,12585.05,17442.36,17167.17,8668.26,22659.55,17143.86,19557.07,11540.33,22478.33,13177.74,16117.75,Isoform 7 of Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp
P43274,101,101,19998.2,22981.29,12864.02,25404.3,7319.42,24837.37,4142.77,7503.64,15995.37,46285.27,3296.85,8498.77,3658.17,7462.79,6464.62,5735.44,24374.76,28271.56,21812.58,18902.53,5560.96,29456.61,5348.98,8953.78,21825.04,30643.89,3751.09,6819.11,5371.91,6932.92,4113.83,5946.02,Histone H1.4 OS=Mus musculus OX=10090 GN=H1-4 PE=1 SV=2
contaminant_KERATIN21,157,157,2605.39,4529.81,6198.66,29678.84,7493.06,5491.25,2460.78,2544.41,4066.71,4639.5,3359.25,7823.1,3835.97,4486.67,27239.89,7394.07,3175.26,5572.2,10510.42,22083.24,5692.92,6512.19,3177.06,3035.9,5548.5,3071.24,3822.12,6276.93,5633.1,4167.97,17335.91,7665.67,no description
B1ARR7,22,22,13161.64,8276.32,6677.91,38147.32,11356.59,9165.27,11184.95,12090.14,8873.36,17688,8702.86,13879.32,7825.82,7955.41,13766.55,8218.09,16042.05,10181.14,11322.91,28384.5,8628.45,10869.55,14442.23,14426.91,12107.09,11710.18,9902.59,11136.5,11492.5,7390.59,8760.91,8520.05,phosphopyruvate hydratase (Fragment) OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=1
G3UYG0,98,98,10487.62,7531.95,5067.16,18217.2,10041.97,9655.55,8578.94,9186.93,7531.43,13393.72,8185.69,10871.73,6659.88,7076.68,10950.13,7510.17,12782.58,9265.49,8591.7,13554.69,7629.62,11450.99,11077.21,10962.5,10276.07,8867.17,9314.11,8723.18,9780.27,6574.22,6968.55,7785.99,"Actin, gamma, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1"
P10854,160,160,14799.7,11995.95,7532.5,17282.2,55924,8915.23,42599.82,46541.34,10718.83,23862.43,35796.61,49041.39,27683.16,57429.49,56472.32,39291.34,18038.42,14757.19,12772.18,12859.01,42491.84,10573.01,55007.13,55538.37,14625.23,15798.31,40733.15,39351.05,40655.28,53355.28,35940.37,40736.56,Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2
Q6ZWY9,160,160,14799.7,11995.95,7532.5,17282.2,55924,8915.23,42599.82,46541.34,10718.83,23862.43,35796.61,49041.39,27683.16,57429.49,56472.32,39291.34,18038.42,14757.19,12772.18,12859.01,42491.84,10573.01,55007.13,55538.37,14625.23,15798.31,40733.15,39351.05,40655.28,53355.28,35940.37,40736.56,Histone H2B type 1-C/E/G OS=Mus musculus OX=10090 GN=H2bc4 PE=1 SV=3
Q64525,160,160,14799.7,11995.95,7532.5,17282.2,55924,8915.23,42599.82,46541.34,10718.83,23862.43,35796.61,49041.39,27683.16,57429.49,56472.32,39291.34,18038.42,14757.19,12772.18,12859.01,42491.84,10573.01,55007.13,55538.37,14625.23,15798.31,40733.15,39351.05,40655.28,53355.28,35940.37,40736.56,Histone H2B type 2-B OS=Mus musculus OX=10090 GN=H2bc18 PE=1 SV=3
Q64478,160,160,14799.7,11995.95,7532.5,17282.2,55924,8915.23,42599.82,46541.34,10718.83,23862.43,35796.61,49041.39,27683.16,57429.49,56472.32,39291.34,18038.42,14757.19,12772.18,12859.01,42491.84,10573.01,55007.13,55538.37,14625.23,15798.31,40733.15,39351.05,40655.28,53355.28,35940.37,40736.56,Histone H2B type 1-H OS=Mus musculus OX=10090 GN=H2bc9 PE=1 SV=3
P04370-5,307,307,13083.45,9901.76,7701.74,18477.07,20915.5,10368.3,13361.83,14091.52,6298.95,33316.98,14880.83,24075.88,7784.02,23918.7,20515.01,15461.65,15946.57,12180.9,13059.15,13748.1,15891.63,12296.34,17253.2,16815.29,8594.39,22057.89,16932.67,19318.35,11431.24,22221.56,13055.98,16030.05,Isoform 5 of Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp
P27661,172,172,7643.27,6812.18,5920.45,6825.34,8018.13,6225.77,6725.39,7196.93,6628.81,7572.02,8003.53,7429.3,8017.31,6354.36,7133.52,7510.51,9315.72,8380.04,10038.69,5078.21,6091.84,7383.27,8683.8,8587.78,9044.46,5012.72,9106.9,5960.9,11773.84,5903.18,4539.56,7786.38,Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2
P04370-14,275,275,13786.02,10523.73,7902.92,19505.58,22330.83,11064.53,14096.94,15039.89,6641.65,35864.64,15790.59,25518.64,8211.21,25294.46,21625.09,16258.07,16802.91,12946.07,13400.29,14513.39,16967.03,13122.09,18202.42,17947.01,9062,23744.65,17967.91,20476.04,12058.62,23499.72,13762.47,16855.78,Isoform 13 of Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp
A0A498WGS3,275,275,13786.02,10523.73,7902.92,19505.58,22330.83,11064.53,14096.94,15039.89,6641.65,35864.64,15790.59,25518.64,8211.21,25294.46,21625.09,16258.07,16802.91,12946.07,13400.29,14513.39,16967.03,13122.09,18202.42,17947.01,9062,23744.65,17967.91,20476.04,12058.62,23499.72,13762.47,16855.78,Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp PE=1 SV=1
P04370,275,275,13786.02,10523.73,7902.92,19505.58,22330.83,11064.53,14096.94,15039.89,6641.65,35864.64,15790.59,25518.64,8211.21,25294.46,21625.09,16258.07,16802.91,12946.07,13400.29,14513.39,16967.03,13122.09,18202.42,17947.01,9062,23744.65,17967.91,20476.04,12058.62,23499.72,13762.47,16855.78,Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp PE=1 SV=2
Q8CBB6,134,134,16941.17,13813.38,8641.2,19753.38,60822.64,10544.11,45156.92,51322.23,12369,27150.35,38862.52,54298.05,30943.46,63087.25,63050.8,42746.42,20648.6,16993.02,14652.17,14697.8,46213.94,12504.88,58309.03,61243.52,16876.87,17975.16,44221.9,43569.08,45443.39,58611.7,40127.12,44318.77,Histone H2B OS=Mus musculus OX=10090 GN=H2bc23 PE=2 SV=1
contaminant_KERATIN18,267,267,2784.2,4517.66,5649.67,25078.85,6357.3,5535.43,2557.11,2352.16,4138.27,4155.31,3692.9,6920.7,3110.13,3901.5,22088.11,6497.62,3393.22,5557.32,9579.54,18660.43,4829.97,6564.57,3301.5,2806.5,5646.18,2750.71,4201.79,5552.83,4567.16,3624.3,14057.13,6736.25,no description
Q64433,12,12,5672.67,3926.75,3707.17,6559.83,5818.5,4178.17,4599,5003.83,4054.5,8057.58,4618.5,7072.67,3773.17,4833.58,6374.58,4910.33,6913.75,4830.25,6285.67,4880.75,4420.58,4954.83,5938.08,5970.75,5531.92,5334.17,5255.08,5674.83,5540.83,4490.25,4056.67,5090.5,"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2"
Q9JI95,12,12,5672.67,3926.75,3707.17,6559.83,5818.5,4178.17,4599,5003.83,4054.5,8057.58,4618.5,7072.67,3773.17,4833.58,6374.58,4910.33,6913.75,4830.25,6285.67,4880.75,4420.58,4954.83,5938.08,5970.75,5531.92,5334.17,5255.08,5674.83,5540.83,4490.25,4056.67,5090.5,"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1-rs1 PE=3 SV=1"
A0A0U1RPN8,58,58,3293.16,2459.57,2196.95,5465.22,4066.81,5249.88,3864.83,2989.1,4459.9,4951.69,3861.36,3942.02,3344.81,3539.66,5118.4,3232.41,4013.55,3025.36,3724.76,4066.05,3089.62,6225.86,4990.02,3566.45,6085.03,3277.93,4393.53,3162.66,4911.76,3288.1,3257.03,3350.86,fructose-bisphosphate aldolase (Fragment) OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=1
D3Z510,58,58,3293.16,2459.57,2196.95,5465.22,4066.81,5249.88,3864.83,2989.1,4459.9,4951.69,3861.36,3942.02,3344.81,3539.66,5118.4,3232.41,4013.55,3025.36,3724.76,4066.05,3089.62,6225.86,4990.02,3566.45,6085.03,3277.93,4393.53,3162.66,4911.76,3288.1,3257.03,3350.86,fructose-bisphosphate aldolase (Fragment) OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2
P04370-9,292,292,13104.96,9982.25,7724.9,18488.32,21293.83,10537.01,13411.64,14284.73,6307.05,33979.27,14964.54,24199.67,7803.74,24021.49,20563.28,15434.89,15972.8,12279.93,13098.43,13756.47,16179.1,12496.43,17317.53,17045.86,8605.45,22496.38,17027.92,19417.68,11460.2,22317.05,13086.69,16002.32,Isoform 9 of Myelin basic protein OS=Mus musculus OX=10090 GN=Mbp
contaminant_KERATIN05,197,197,3423.19,4176.42,5363.21,16724.11,7512.04,4642.74,3336.06,2820.59,4304.67,4567.01,4012.87,6694.13,3218.15,3806.87,18887.42,6109.19,4171.98,5137.51,9093.8,12443.74,5707.4,5505.84,4307.31,3365.45,5873.21,3023.28,4565.85,5371.02,4725.78,3536.38,12020.11,6333.59,no description
C0HKE1,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1
A0A0N4SV66,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1
Q8R1M2,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A.J OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1
Q8CGP7,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-K OS=Mus musculus OX=10090 GN=H2ac15 PE=1 SV=3
Q8CGP6,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3
Q8CGP5,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3
Q8BFU2,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3
C0HKE9,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1
C0HKE8,168,168,7682.31,7034.93,6061.93,6875.88,7866.29,6338.75,6712.84,7124.73,6827.32,7635.88,8134.66,7324.84,8209.56,6264.04,6966.8,7518.93,9363.31,8654.07,10278.58,5115.82,5976.47,7517.26,8667.58,8501.63,9315.32,5054.99,9256.11,5877.07,12056.18,5819.27,4433.46,7795.12,Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1
